Agency,Address,City,Latitude,Longitude,Date,Time,Description
Austin Police Department,15500 Block Bandon Dr,Austin,30.4996,-97.7656,2017-08-26,23:35:00,Suspicious person
Austin Police Department,15800 Block Belfin Dr,Austin,30.4925,-97.7634,2017-12-05,16:30:00,Theft from auto
Austin Police Department,9700 Block Castle Pines Dr,Austin,30.4972,-97.7616,2017-11-30,10:00:00,Fraud - other
Austin Police Department,9900 Block Morgan Creek Dr,Austin,30.4936,-97.7645,2017-12-08,23:30:00,Harassment
Austin Police Department,10100 Block Morgan Creek Dr,Austin,30.4976,-97.7666,2017-10-31,17:30:00,Criminal mischief
Austin Police Department,15000 Block Iveans Way,Austin,30.4927,-97.7561,2017-10-23,15:00:00,Fraud - other
Austin Police Department,10600 Block Ivalenes Hope Dr,Austin,30.494,-97.757,2017-10-27,10:23:00,Fraud - other
Austin Police Department,9700 Block Ivalenes Hope Dr,Austin,30.4971,-97.7546,2017-08-15,10:00:00,Fraud - other
Austin Police Department,14600 Block Iveans Way,Austin,30.4894,-97.7537,2017-08-22,00:00:00,Theft
Austin Police Department,14400 Block Iveans Way,Austin,30.4876,-97.7535,2017-08-28,20:00:00,Criminal mischief
Austin Police Department,14800 Block Fernhill Dr,Austin,30.4941,-97.7593,2017-09-17,21:00:00,Burglary of vehicle
Austin Police Department,15300 Block Iveans Way,Austin,30.4956,-97.7557,2017-09-17,22:00:00,Burglary of vehicle
Austin Police Department,9600 Block Brians Path,Austin,30.4958,-97.7569,2017-10-20,23:00:00,Harassment
Austin Police Department,15400 Block Whistling Straits Dr,Austin,30.4969,-97.7664,2017-12-22,19:00:00,Theft
Austin Police Department,10300 Block Ivalenes Hope Dr,Austin,30.4977,-97.758,2017-12-15,18:00:00,Burglary of residence
Austin Police Department,9400 Block Kyles Stake Rd,Austin,30.4947,-97.755,2018-01-25,13:00:00,Theft
Austin Police Department,9300 Block Neenah Ave,Austin,30.4896,-97.7577,2018-01-26,10:16:00,Terroristic threat
Austin Police Department,9400 Block Altona Way,Austin,30.4862,-97.7635,2018-02-25,19:39:00,Assault w/injury-fam/date viol
Austin Police Department,9700 Block Spanish Wells Dr,Austin,30.4921,-97.7669,2018-03-04,20:37:00,Burglary of residence
Austin Police Department,9400 Block Morgan Creek Dr,Austin,30.499,-97.7626,2018-03-19,14:52:00,Suspicious person
Austin Police Department,15400 Block Fisher Island Dr,Austin,30.4959,-97.7656,2018-03-03,13:30:00,Harassment
Austin Police Department,9800 Block Faith And Trust Cv,Austin,30.4986,-97.757,2018-04-20,12:20:00,Debit card abuse
Austin Police Department,15500 Block Fisher Island Dr,Austin,30.497,-97.7633,2018-05-01,20:48:00,Theft
Austin Police Department,9600 Block Mc Knight Loop,Austin,30.4859,-97.7551,2018-06-22,17:30:00,Assault by contact
Austin Police Department,10500 Block Ivalenes Hope Dr,Austin,30.4959,-97.7575,2018-06-22,20:17:00,Burglary of residence
Austin Police Department,9500 Block Castle Pines Dr,Austin,30.4941,-97.7605,2018-06-12,19:32:00,Animal bite
